gene,drift_velocity,abs_drift
LST1,-0.006713037,0.006713037
COL1A1,0.0066981595,0.0066981595
SLC40A1,0.0066954046,0.0066954046
MYBL1,-0.0066563804,0.0066563804
ALOX5AP,0.0066501447,0.0066501447
UTRN,-0.0065970477,0.0065970477
MCL1,-0.0065942924,0.0065942924
MYH9,-0.0065478142,0.0065478142
CTSL,0.0065370784,0.0065370784
PGM2L1,-0.006536505,0.006536505
TRAV1-2,-0.0064996635,0.0064996635
IL21,0.0064688902,0.0064688902
IGFBP4,0.0064679985,0.0064679985
CXCL10,-0.006394984,0.006394984
CDKN1A,-0.0063736397,0.0063736397
PTPN13,-0.0063664247,0.0063664247
APOD,0.0062921993,0.0062921993
UBE2C,-0.006252395,0.006252395
ASPM,-0.0061707315,0.0061707315
LINC02256,0.006153179,0.006153179
MLLT3,0.006153147,0.006153147
GEM,-0.0061499937,0.0061499937
HELZ2,-0.0060441988,0.0060441988
MIAT,-0.0060117687,0.0060117687
TRAV14DV4,-0.005910801,0.005910801
LINC02446,-0.0058710915,0.0058710915
APOE,-0.0058048633,0.0058048633
NUCB2,-0.0057625417,0.0057625417
AHNAK,0.0057264245,0.0057264245
HSPA5,-0.005722944,0.005722944
FAM174B,-0.005706729,0.005706729
TRBV5-1,-0.0056926655,0.0056926655
NCR3,-0.005609377,0.005609377
CD160,0.0056066215,0.0056066215
LTA,0.0055141263,0.0055141263
CD24,0.0054594297,0.0054594297
CLU,0.0054106894,0.0054106894
TPM1,0.005355721,0.005355721
CD68,-0.0052889185,0.0052889185
ANKRD49,-0.0052786293,0.0052786293
ICA1,-0.005203703,0.005203703
MALAT1,0.0051493524,0.0051493524
GRK2,-0.0049751983,0.0049751983
ANKRD36C,-0.004963746,0.004963746
OTOF,-0.004956674,0.004956674
CADM1,-0.0049386276,0.0049386276
RASD1,-0.0049305833,0.0049305833
CRTAM,0.004896354,0.004896354
CUL9,-0.0048758704,0.0048758704
TNRC6A,-0.0048246454,0.0048246454
KRT18,-0.004821938,0.004821938
TAGLN,0.0048144516,0.0048144516
SPP1,-0.0047416915,0.0047416915
PLEK,0.004691646,0.004691646
BIRC5,-0.004681738,0.004681738
GPR174,0.004627089,0.004627089
CH25H,-0.004624955,0.004624955
DUSP6,0.004585612,0.004585612
COL1A2,0.0045825536,0.0045825536
CST3,-0.004553692,0.004553692
KLRF1,0.0045014955,0.0045014955
AHI1,-0.004493372,0.004493372
TRBV6-1,-0.004451912,0.004451912
RGS16,0.004439742,0.004439742
TRAV12-1,-0.0043610414,0.0043610414
SGK1,-0.0042795534,0.0042795534
JCHAIN,0.0041926494,0.0041926494
C15orf48,-0.004165269,0.004165269
C1orf21,0.004146091,0.004146091
PPP1R15A,0.0041247,0.0041247
TRAV12-3,-0.004105984,0.004105984
GNG8,-0.004096412,0.004096412
TRBV7-4,-0.004062771,0.004062771
FXYD7,0.0040117376,0.0040117376
LPAR6,0.0039938344,0.0039938344
SAMD3,-0.003970404,0.003970404
CD81,-0.0039502396,0.0039502396
CCNB1,-0.0039431825,0.0039431825
CCNB2,-0.003933881,0.003933881
OASL,0.0039237347,0.0039237347
CCL20,-0.0039162645,0.0039162645
PDLIM1,0.0039014833,0.0039014833
LINC01229,-0.0038759983,0.0038759983
CCND2,-0.0038509911,0.0038509911
MAP1LC3A,-0.0038053729,0.0038053729
IL4I1,-0.0037975202,0.0037975202
VCAM1,-0.0037638324,0.0037638324
CDK1,-0.0037559161,0.0037559161
SPARC,0.0036981287,0.0036981287
ADIRF,-0.0036935892,0.0036935892
IGLV6-57,0.003691614,0.003691614
TRAV13-2,-0.00367344,0.00367344
PRSS23,-0.0036728827,0.0036728827
TSHZ2,-0.003651077,0.003651077
IL1R2,-0.0036474776,0.0036474776
GPR183,-0.0036261335,0.0036261335
PLAC8,0.0036230593,0.0036230593
IGLV2-14,0.0035910914,0.0035910914
ZBED2,-0.0035908688,0.0035908688
LTF,0.0035758005,0.0035758005
RMRP,-0.0035679962,0.0035679962
FN1,-0.0035456966,0.0035456966
S100A9,-0.003544327,0.003544327
IGFL2,-0.0035418903,0.0035418903
DBN1,-0.0035262164,0.0035262164
CD79A,-0.0034504787,0.0034504787
TRBV6-2,-0.0034346774,0.0034346774
PMCH,-0.0034296124,0.0034296124
FXYD2,-0.0033883587,0.0033883587
TRBV7-3,-0.0033858258,0.0033858258
LMNA,0.0033693723,0.0033693723
DLGAP1,-0.003368098,0.003368098
CCR6,-0.0033589075,0.0033589075
SERPINE2,-0.00334951,0.00334951
TRBV2,-0.0033185615,0.0033185615
LINC00299,-0.0033161086,0.0033161086
G0S2,-0.0032800792,0.0032800792
TRBV6-5,-0.0032747271,0.0032747271
MS4A6A,-0.0032595,0.0032595
CHMP1B,0.003252014,0.003252014
CCL2,-0.0032487805,0.0032487805
FABP7,0.0032430463,0.0032430463
CD83,-0.0032233433,0.0032233433
IGLV2-8,0.0032187242,0.0032187242
TRAV20,0.0031885877,0.0031885877
PDE7A,-0.0031704933,0.0031704933
HLA-DQA2,0.0031594716,0.0031594716
TRAV23DV6,0.0031248913,0.0031248913
TRAV5,-0.0030565436,0.0030565436
SLAMF7,-0.0030328906,0.0030328906
TRGV4,0.003022792,0.003022792
CDC20,-0.0030214384,0.0030214384
COL6A2,0.002980089,0.002980089
CPNE7,0.0029663905,0.0029663905
FGR,0.0029634277,0.0029634277
HBA2,0.002948822,0.002948822
TRGV2,-0.0029284817,0.0029284817
SMARCD3,0.0029143216,0.0029143216
FGFBP2,-0.002908524,0.002908524
AZGP1,0.002881398,0.002881398
MX2,-0.0028762536,0.0028762536
ANKRD13D,-0.0028556264,0.0028556264
CPM,-0.002827561,0.002827561
AQP3,0.0028135444,0.0028135444
RDH10,-0.002790863,0.002790863
TNFSF4,-0.0027671456,0.0027671456
TNFSF9,0.0027598666,0.0027598666
TRAV8-6,-0.0027498319,0.0027498319
KRT7,0.0026844149,0.0026844149
TRGC1,0.0026670853,0.0026670853
TSC22D1,-0.0026573373,0.0026573373
IGLV1-51,0.0026346396,0.0026346396
TRBV11-2,-0.0026296221,0.0026296221
S100A1,0.0026220884,0.0026220884
RAB31,-0.0025762948,0.0025762948
KLRC2,-0.0025672,0.0025672
RNASE1,-0.0025532788,0.0025532788
SLC25A37,0.0025180297,0.0025180297
HDAC9,-0.0025169149,0.0025169149
NCAM1,-0.0025129647,0.0025129647
TIMD4,-0.002507549,0.002507549
TRAV1-1,-0.002506657,0.002506657
LRRN3,-0.0024837048,0.0024837048
PIM1,0.002482797,0.002482797
IGFBP3,0.0024638264,0.0024638264
TRAV8-2,0.002436175,0.002436175
SCGB2A2,0.002422493,0.002422493
EHBP1L1,-0.002405227,0.002405227
SERPING1,-0.0023896652,0.0023896652
TCF4,-0.0023661552,0.0023661552
MYL9,0.002362842,0.002362842
BCAT1,-0.0023344422,0.0023344422
S100A8,-0.0023095624,0.0023095624
ZNF331,-0.0022982536,0.0022982536
COCH,-0.0022926468,0.0022926468
WIPF3,-0.002273915,0.002273915
ZBTB20,0.0022665884,0.0022665884
TLE1,-0.0022594845,0.0022594845
ARMH1,-0.0022585767,0.0022585767
