gene,drift_velocity,abs_drift
CLEC1A,-2.5712447e-05,2.5712447e-05
MEFV,2.5367923e-05,2.5367923e-05
FCRLA,-2.5150328e-05,2.5150328e-05
SLC13A5,2.5132194e-05,2.5132194e-05
CALD1,-2.504153e-05,2.504153e-05
PRR19,2.5023397e-05,2.5023397e-05
WNT2,2.4896466e-05,2.4896466e-05
SMCR5,-2.4842067e-05,2.4842067e-05
ADD2,2.4805802e-05,2.4805802e-05
PTPRD,-2.473327e-05,2.473327e-05
LINC01140,2.473327e-05,2.473327e-05
LINC02475,2.4624473e-05,2.4624473e-05
FAM107A,2.4497544e-05,2.4497544e-05
DNAAF1,-2.4316214e-05,2.4316214e-05
GSTA1,-2.4316214e-05,2.4316214e-05
THNSL2,-2.4279949e-05,2.4279949e-05
PYY,2.4207417e-05,2.4207417e-05
PRX,2.4134884e-05,2.4134884e-05
ANKRD24,-2.4026087e-05,2.4026087e-05
SOX2,-2.3881024e-05,2.3881024e-05
ANXA8L1,2.3826626e-05,2.3826626e-05
GAS1RR,2.3826626e-05,2.3826626e-05
LINC01709,-2.3717828e-05,2.3717828e-05
GPR158,2.3717828e-05,2.3717828e-05
UNC5B,-2.3518367e-05,2.3518367e-05
RNF112,2.3445835e-05,2.3445835e-05
MSH5-SAPCD1,2.3427701e-05,2.3427701e-05
TBX5-AS1,-2.3318906e-05,2.3318906e-05
OBP2A,2.3282639e-05,2.3282639e-05
MYBPC1,-2.315571e-05,2.315571e-05
ENHO,-2.3065044e-05,2.3065044e-05
FAM135B,-2.3028779e-05,2.3028779e-05
RSPH1,-2.2956247e-05,2.2956247e-05
ANKRD2,2.2901848e-05,2.2901848e-05
PLAC8L1,-2.2829317e-05,2.2829317e-05
DSG3,-2.272052e-05,2.272052e-05
OXTR,-2.2557324e-05,2.2557324e-05
COL25A1,2.253919e-05,2.253919e-05
THRB,2.253919e-05,2.253919e-05
KRTAP5-10,-2.2430393e-05,2.2430393e-05
CDH8,-2.233973e-05,2.233973e-05
TOMM20L,2.233973e-05,2.233973e-05
VEGFD,-2.2176533e-05,2.2176533e-05
FHAD1,-2.2122134e-05,2.2122134e-05
PARM1,-2.2085867e-05,2.2085867e-05
IGHV1-14,-2.197707e-05,2.197707e-05
THSD4,-2.1868273e-05,2.1868273e-05
SLC38A3,-2.1868273e-05,2.1868273e-05
RAC3,2.1741344e-05,2.1741344e-05
C11orf16,-2.1686945e-05,2.1686945e-05
MEDAG,2.1433083e-05,2.1433083e-05
CLCN5,-2.1414951e-05,2.1414951e-05
SLC4A3,-2.1378684e-05,2.1378684e-05
SYNDIG1,-2.085283e-05,2.085283e-05
HPSE2,-2.065337e-05,2.065337e-05
ATP6V1B1-AS1,2.065337e-05,2.065337e-05
ADGRF1,-2.059897e-05,2.059897e-05
SLC19A3,-2.0580837e-05,2.0580837e-05
CDC42EP1,2.047204e-05,2.047204e-05
SNCAIP,2.029071e-05,2.029071e-05
MTUS2,2.009125e-05,2.009125e-05
GRM8,2.0018717e-05,2.0018717e-05
LRP1,1.9982452e-05,1.9982452e-05
HAS1,-1.9928053e-05,1.9928053e-05
CCL11,1.9891788e-05,1.9891788e-05
AEBP1,-1.978299e-05,1.978299e-05
NEXN-AS1,1.947473e-05,1.947473e-05
PCDHGA3,-1.9456598e-05,1.9456598e-05
CDH26,-1.9456598e-05,1.9456598e-05
LRRK1,-1.9438465e-05,1.9438465e-05
UGT2B17,1.93478e-05,1.93478e-05
MAGEA4,-1.9329667e-05,1.9329667e-05
PGM5-AS1,1.9311534e-05,1.9311534e-05
TAS2R4,-1.9148338e-05,1.9148338e-05
TMEM213,-1.9112073e-05,1.9112073e-05
PAQR6,-1.8912611e-05,1.8912611e-05
HLX-AS1,1.8821947e-05,1.8821947e-05
TUBB2B,-1.8803814e-05,1.8803814e-05
HP,-1.8604353e-05,1.8604353e-05
GDNF,-1.8386758e-05,1.8386758e-05
IGKV1D-33,1.8314226e-05,1.8314226e-05
MTCL1,1.8114764e-05,1.8114764e-05
MYT1,1.8060366e-05,1.8060366e-05
RNF144B,1.8042232e-05,1.8042232e-05
RAB39A,1.784277e-05,1.784277e-05
HOXB9,-1.7335049e-05,1.7335049e-05
ACADL,1.6863594e-05,1.6863594e-05
KYNU,-1.6754797e-05,1.6754797e-05
LINC01116,-1.6754797e-05,1.6754797e-05
GRP,-1.6736663e-05,1.6736663e-05
PCDHGA12,-1.6573467e-05,1.6573467e-05
RBMS3,1.6519069e-05,1.6519069e-05
ALK,1.646467e-05,1.646467e-05
DGKB,1.6301474e-05,1.6301474e-05
FAM178B,1.6156411e-05,1.6156411e-05
STRC,-1.6138278e-05,1.6138278e-05
ACBD7,1.6138278e-05,1.6138278e-05
ADAM33,1.5975082e-05,1.5975082e-05
SLC26A4,1.5975082e-05,1.5975082e-05
CALML6,1.5938816e-05,1.5938816e-05
SMIM18,1.5920683e-05,1.5920683e-05
TMPRSS9,1.5830019e-05,1.5830019e-05
KLRF1,-1.5131902e-05,1.5131902e-05
MYO15A,1.51047025e-05,1.51047025e-05
ZNF843,1.5014039e-05,1.5014039e-05
ABCC8,-1.4995905e-05,1.4995905e-05
TEX41,1.4868975e-05,1.4868975e-05
ACOT6,1.4814576e-05,1.4814576e-05
DNALI1,-1.4796444e-05,1.4796444e-05
DUSP9,-1.4742045e-05,1.4742045e-05
C1QTNF7,1.4488184e-05,1.4488184e-05
HRK,1.4470052e-05,1.4470052e-05
GAGE2A,-1.4451918e-05,1.4451918e-05
RAET1E,1.4361254e-05,1.4361254e-05
PRELP,-1.4234323e-05,1.4234323e-05
LGALSL,-1.4143659e-05,1.4143659e-05
TOM1L1,-1.3944197e-05,1.3944197e-05
MILR1,1.3944197e-05,1.3944197e-05
C2orf15,1.3926065e-05,1.3926065e-05
EGFLAM,1.3926065e-05,1.3926065e-05
XKR4,1.3781001e-05,1.3781001e-05
CDH4,-1.370847e-05,1.370847e-05
AFDN-DT,1.358154e-05,1.358154e-05
ITGB4,-1.31826155e-05,1.31826155e-05
RIIAD1,1.314635e-05,1.314635e-05
FAM124A,1.2801825e-05,1.2801825e-05
SLC1A6,1.26386285e-05,1.26386285e-05
PRSS57,1.2475432e-05,1.2475432e-05
SLC16A4,-1.2421034e-05,1.2421034e-05
GLB1L3,1.2294104e-05,1.2294104e-05
FGB,1.2275971e-05,1.2275971e-05
KMO,-1.2203439e-05,1.2203439e-05
GNGT1,1.1822648e-05,1.1822648e-05
EPHB2,1.1659453e-05,1.1659453e-05
CLC,1.1659453e-05,1.1659453e-05
CCM2L,1.1568788e-05,1.1568788e-05
PCDHGA2,1.10792e-05,1.10792e-05
LRRC36,1.0988535e-05,1.0988535e-05
ITGB6,1.095227e-05,1.095227e-05
ERBB4,1.0934136e-05,1.0934136e-05
RUNX1T1,-1.0825339e-05,1.0825339e-05
GPBAR1,-1.0752808e-05,1.0752808e-05
NPY,1.0317618e-05,1.0317618e-05
ZBED3-AS1,-1.0154422e-05,1.0154422e-05
CST5,-1.0081891e-05,1.0081891e-05
THBD,-1.0027492e-05,1.0027492e-05
UFL1-AS1,9.791764e-06,9.791764e-06
FOXD2,9.501638e-06,9.501638e-06
SLC15A3,9.39284e-06,9.39284e-06
ADCY5,9.26591e-06,9.26591e-06
PTPRD-AS1,8.939518e-06,8.939518e-06
PPP4R1-AS1,-8.866987e-06,8.866987e-06
EBF4,-8.812588e-06,8.812588e-06
NPIPB9,-8.776322e-06,8.776322e-06
SRRM2-AS1,8.685657e-06,8.685657e-06
SLFNL1,8.6675245e-06,8.6675245e-06
KCNK7,-8.5405945e-06,8.5405945e-06
PI15,-8.504328e-06,8.504328e-06
RIPPLY3,-8.504328e-06,8.504328e-06
TKTL1,-8.44993e-06,8.44993e-06
HYAL1,8.304866e-06,8.304866e-06
ABCA9,-8.232335e-06,8.232335e-06
